workspace,milestone_id,title,category,is_graded,patch_src_loc,patch_total_loc,src_additions,src_deletions,all_additions,all_deletions,touched_src_files,touched_test_files,srs_word_count,dag_topological_position,dag_position_fraction,dag_layer,dag_layer_fraction,dag_indegree,dag_outdegree,raw_fail_to_pass,raw_none_to_pass,raw_pass_to_pass,invalid_fail_to_pass,invalid_none_to_pass,invalid_pass_to_pass,effective_fail_to_pass,effective_none_to_pass,effective_pass_to_pass,effective_functional_tests,effective_total_tests,intrinsic_difficulty_raw,continuous_difficulty_raw,intrinsic_difficulty_score,continuous_difficulty_score,difficulty_band
zeromicro_go-zero_v1.6.0_v1.9.3,M007.2,Etcd Discovery Mechanism Reliability,Feature,True,537,873,352,185,520,353,16,0,1289,13,0.5454545454545454,5,0.625,2,1,6,269,2036,0,0,0,6,269,2036,275,2311,0.622636557594774,0.5732057831685398,56.23,55.73,central
zeromicro_go-zero_v1.6.0_v1.9.3,M010,SSE Routes Support with Timeout Handling,Feature,True,175,271,137,38,185,86,9,0,1201,14,0.5909090909090909,5,0.625,1,1,0,396,2149,0,0,0,0,396,2149,396,2545,-0.18867476879157624,-0.051785265568837203,48.11,49.48,central
zeromicro_go-zero_v1.6.0_v1.9.3,M024,RPC and Balancer Improvements,Quality,True,216,236,115,101,125,111,10,0,1118,15,0.6363636363636364,0,0.0,0,0,1,253,1327,0,14,16,1,239,1311,240,1551,-0.11994866426777451,-0.16376745716253577,48.8,48.36,central
zeromicro_go-zero_v1.6.0_v1.9.3,M025,Threading and Concurrency Utilities,Feature,True,147,149,147,0,148,1,2,0,1492,16,0.6818181818181818,0,0.0,0,0,0,178,1675,0,0,0,0,178,1675,178,1853,-0.40670675337964834,-0.3705504747745585,45.93,46.29,central
zeromicro_go-zero_v1.6.0_v1.9.3,M026,Configuration System Improvements,Quality,True,32,44,27,5,33,11,6,0,608,17,0.7272727272727273,0,0.0,0,1,2,222,2120,0,0,0,2,222,2120,224,2344,-1.4993583342044539,-1.212187054463301,35.01,37.88,lower
zeromicro_go-zero_v1.6.0_v1.9.3,M021,Service Infrastructure Improvements,Quality,True,170,213,119,51,138,75,8,0,922,18,0.7727272727272727,2,0.25,2,1,1,186,1324,0,0,0,1,186,1324,187,1511,-0.31812086992375943,-0.21433282730244613,46.82,47.86,central
zeromicro_go-zero_v1.6.0_v1.9.3,M027,Lua Scripts and Limits Refactoring,Quality,True,156,232,86,70,127,105,10,0,778,19,0.8181818181818182,5,0.625,2,1,0,225,2417,0,0,0,0,225,2417,225,2642,-0.30611422324724824,-0.0785822954709694,46.94,49.21,central
zeromicro_go-zero_v1.6.0_v1.9.3,M020,Code Quality and Modernization,Maintenance,True,615,885,208,407,343,542,16,0,2402,20,0.8636363636363636,6,0.75,4,1,8,212,1430,0,0,0,8,212,1430,220,1650,0.6712756204144396,0.7237461471672268,56.71,57.24,central
zeromicro_go-zero_v1.6.0_v1.9.3,M014,Continuous Profiling Support,Feature,True,461,616,373,88,451,165,6,0,1041,21,0.9090909090909091,7,0.875,2,2,0,240,2151,0,0,0,0,240,2151,240,2391,0.5027787236219861,0.6461846068272086,55.03,56.46,central
zeromicro_go-zero_v1.6.0_v1.9.3,M022,Trace and Observability Improvements,Quality,True,53,69,27,26,35,34,5,0,710,22,0.9545454545454546,8,1.0,1,0,0,215,2211,0,0,0,0,215,2211,215,2426,-1.1257765110823506,-0.5864937103132211,38.74,44.14,central
zeromicro_go-zero_v1.6.0_v1.9.3,M028,Miscellaneous Fixes and Improvements,Maintenance,True,447,903,282,165,502,401,40,0,2033,23,1.0,8,1.0,2,0,13,631,2232,0,0,0,13,631,2232,644,2876,0.5589425402035373,0.7466878544241395,55.59,57.47,central
